PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	RXN-12518	EC-1.3.3.6	G2Z-10518-MONOMER	fatty-acyl coenzyme A oxidase	G2Z-10518	Manes.12G092800
PWY-1121	suberin monomers biosynthesis	PHENYLALANINE-AMMONIA-LYASE-RXN	EC-4.3.1.25	G2Z-9841-MONOMER	phenylalanine ammonia-lyase	G2Z-9841	Manes.10G047500
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	RXN0-1147	EC-2.3.1.61	G2Z-11454-MONOMER	dihydrolipoyltranssuccinylase	G2Z-11454	Manes.15G069200
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I	PMPOXI-RXN	EC-1.4.3.5	G2Z-8081-MONOMER	pyridoxamine 5'-phosphate oxidase	G2Z-8081	Manes.05G020900
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I	PNPOXI-RXN	EC-1.4.3.5	G2Z-8081-MONOMER	pyridoxine 5'-phosphate oxidase	G2Z-8081	Manes.05G020900
PWY-7039	phosphatidate metabolism, as a signaling molecule	3.1.4.11-RXN	EC-3.1.4.11	G2Z-12536-MONOMER	phosphatidylinositol 4,5-bisphosphate lipase C	G2Z-12536	Manes.S029900
SULFMETII-PWY	sulfate reduction II (assimilatory)	SULFATE-ADENYLYLTRANS-RXN	EC-2.7.7.4	G2Z-11378-MONOMER	sulfate adenylyltransferase	G2Z-11378	Manes.15G033600
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	PGLUCISOM-RXN	EC-5.3.1.9	G2Z-12333-MONOMER	glucose-6-phosphate isomerase	G2Z-12333	Manes.18G060600
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	F16BDEPHOS-RXN	EC-3.1.3.11	G2Z-7222-MONOMER	fructose-1,6-bisphosphatase	G2Z-7222	Manes.02G178700
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	F16ALDOLASE-RXN	EC-4.1.2.13	G2Z-7893-MONOMER	fructose-bisphosphate aldolase	G2Z-7893	Manes.04G083800
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	2PGADEHYDRAT-RXN	EC-4.2.1.11	G2Z-6391-MONOMER	enolase	G2Z-6391	Manes.01G023200
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	PEPDEPHOS-RXN	EC-2.7.1.40	G2Z-9676-MONOMER	pyruvate kinase	G2Z-9676	Manes.09G143000
ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)	ORNITHINE-GLU-AMINOTRANSFERASE-RXN	EC-2.6.1.13	G2Z-12092-MONOMER		G2Z-12092	Manes.17G072300
ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)	ORNITHINE-GLU-AMINOTRANSFERASE-RXN	EC-2.6.1.13	G2Z-11561-MONOMER		G2Z-11561	Manes.15G123600
PWY-5667	CDP-diacylglycerol biosynthesis I	RXN-1623	EC-2.3.1.51	G2Z-12248-MONOMER	acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-<i>O</i>-acyltransferase	G2Z-12248	Manes.18G017100
PWY-6457	<i>trans</i>-cinnamoyl-CoA biosynthesis	PHENYLALANINE-AMMONIA-LYASE-RXN	EC-4.3.1.25	G2Z-7772-MONOMER	phenylalanine ammonia-lyase	G2Z-7772	Manes.04G018000
PWY-6457	<i>trans</i>-cinnamoyl-CoA biosynthesis	PHENYLALANINE-AMMONIA-LYASE-RXN	EC-4.3.1.25	G2Z-9032-MONOMER	phenylalanine ammonia-lyase	G2Z-9032	Manes.07G098700
PWY-6457	<i>trans</i>-cinnamoyl-CoA biosynthesis	PHENYLALANINE-AMMONIA-LYASE-RXN	EC-4.3.1.25	G2Z-9114-MONOMER	phenylalanine ammonia-lyase	G2Z-9114	Manes.08G008400
PWY-6457	<i>trans</i>-cinnamoyl-CoA biosynthesis	PHENYLALANINE-AMMONIA-LYASE-RXN	EC-4.3.1.25	G2Z-9841-MONOMER	phenylalanine ammonia-lyase	G2Z-9841	Manes.10G047500
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	RXN0-1461	EC-1.3.3.3	G2Z-11692-MONOMER	coproporphyrinogen III oxidase	G2Z-11692	Manes.16G000600
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	RXN1F-20	EC-6.6.1.1	G2Z-12060-MONOMER	magnesium chelatase	G2Z-12060	Manes.17G053100
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	UROGENDECARBOX-RXN	EC-4.1.1.37	G2Z-9765-MONOMER	uroporphyrinogen decarboxylase	G2Z-9765	Manes.10G005300
PWY-7411	phosphatidate biosynthesis (yeast)	RXN-15043	EC-2.3.1.51	G2Z-12248-MONOMER		G2Z-12248	Manes.18G017100
PWY-6483	ceramide degradation	RXN-11375	EC-3.5.1.23	G2Z-8311-MONOMER	ceramidase	G2Z-8311	Manes.05G140600
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I	2.8.1.6-RXN	EC-2.8.1.6	G2Z-7809-MONOMER	biotin synthase	G2Z-7809	Manes.04G040500
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation	RXN-14971	EC-1.3.5.1	G2Z-12182-MONOMER	succinate dehydrogenase	G2Z-12182	Manes.17G108500
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation	MALATE-DEH-RXN	EC-1.1.1.37	G2Z-10864-MONOMER	malate dehydrogenase	G2Z-10864	Manes.13G106000
PWY-361	phenylpropanoid biosynthesis	2.3.1.133-RXN	EC-2.3.1.133	G2Z-7925-MONOMER	shikimate O-hydroxycinnamoyltransferase	G2Z-7925	Manes.04G101700
PWY-361	phenylpropanoid biosynthesis	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	EC-2.1.1.104	G2Z-8976-MONOMER	caffeoyl-CoA 3-<i>O</i>-methyltransferase	G2Z-8976	Manes.07G075700
PWY-361	phenylpropanoid biosynthesis	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	EC-2.1.1.104	G2Z-10897-MONOMER	caffeoyl-CoA 3-<i>O</i>-methyltransferase	G2Z-10897	Manes.13G122600
PWY-361	phenylpropanoid biosynthesis	RXN-1125	EC-1.1.1.195	G2Z-10854-MONOMER	sinapyl alcohol dehydrogenase	G2Z-10854	Manes.13G102400
PWY-361	phenylpropanoid biosynthesis	RXN-1125	EC-1.1.1.195	G2Z-10855-MONOMER	sinapyl alcohol dehydrogenase	G2Z-10855	Manes.13G102500
PWY-5690	TCA cycle II (plants and fungi)	RXN-14971	EC-1.3.5.1	G2Z-12182-MONOMER	succinate dehydrogenase	G2Z-12182	Manes.17G108500
PWY-5690	TCA cycle II (plants and fungi)	MALATE-DEH-RXN	EC-1.1.1.37	G2Z-10864-MONOMER	malate dehydrogenase	G2Z-10864	Manes.13G106000
HOMOSERSYN-PWY	L-homoserine biosynthesis	HOMOSERDEHYDROG-RXN	EC-1.1.1.3	G2Z-12543-MONOMER	homoserine dehydrogenase	G2Z-12543	Manes.S033500
PWY-7498	phenylpropanoids methylation (ice plant)	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	EC-2.1.1.104	G2Z-8976-MONOMER	caffeoyl-CoA 3-<i>O</i>-methyltransferase	G2Z-8976	Manes.07G075700
PWY-7498	phenylpropanoids methylation (ice plant)	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	EC-2.1.1.104	G2Z-10897-MONOMER	caffeoyl-CoA 3-<i>O</i>-methyltransferase	G2Z-10897	Manes.13G122600
PWY-7346	"UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)"	UGD-RXN	EC-1.1.1.22	G2Z-12646-MONOMER	UDP-glucose 6-dehydrogenase	G2Z-12646	Manes.S094200
PWY-4821	"UDP-&alpha;-D-xylose biosynthesis"	PWY-7346	-	G2Z-12646-MONOMER		G2Z-12646	Manes.S094200
PWY-6363	D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation	RXN-10952	EC-3.1.3.25	G2Z-7900-MONOMER		G2Z-7900	Manes.04G087000
HISTSYN-PWY	L-histidine biosynthesis	HISTIDPHOS-RXN	EC-3.1.3.15	G2Z-7900-MONOMER	histidinol-phosphatase	G2Z-7900	Manes.04G087000
HISTSYN-PWY	L-histidine biosynthesis	HISTOLDEHYD-RXN	-	G2Z-8565-MONOMER	histidinol dehydrogenase	G2Z-8565	Manes.06G058300
HISTSYN-PWY	L-histidine biosynthesis	HISTALDEHYD-RXN	-	G2Z-8565-MONOMER	histidinal dehydrogenase	G2Z-8565	Manes.06G058300
PWY-5083	NAD/NADH phosphorylation and dephosphorylation	NADH-KINASE-RXN	EC-2.7.1.86	G2Z-8781-MONOMER	NADH kinase	G2Z-8781	Manes.06G162500
PWY-5083	NAD/NADH phosphorylation and dephosphorylation	NADH-DEHYDROG-A-RXN	EC-1.6.5.3	G2Z-9225-MONOMER	NADH:ubiquinone oxidoreductase (H<sup>+</sup>-transporting)	G2Z-9225	Manes.08G056700
PWY-5083	NAD/NADH phosphorylation and dephosphorylation	NADH-DEHYDROG-A-RXN	EC-1.6.5.3	G2Z-10367-MONOMER	NADH:ubiquinone oxidoreductase (H<sup>+</sup>-transporting)	G2Z-10367	Manes.12G014300
PWY-5083	NAD/NADH phosphorylation and dephosphorylation	NADH-DEHYDROG-A-RXN	EC-1.6.5.3	G2Z-10416-MONOMER	NADH:ubiquinone oxidoreductase (H<sup>+</sup>-transporting)	G2Z-10416	Manes.12G038400
PWY-5083	NAD/NADH phosphorylation and dephosphorylation	NADH-DEHYDROG-A-RXN	EC-1.6.5.3	G2Z-10738-MONOMER	NADH:ubiquinone oxidoreductase (H<sup>+</sup>-transporting)	G2Z-10738	Manes.13G039100
PWY-5083	NAD/NADH phosphorylation and dephosphorylation	NAD-KIN-RXN	EC-2.7.1.23	G2Z-8781-MONOMER	NAD kinase	G2Z-8781	Manes.06G162500
PWY-5481	pyruvate fermentation to lactate	L-LACTATE-DEHYDROGENASE-RXN	EC-1.1.1.27	G2Z-6950-MONOMER	L-lactate dehydrogenase	G2Z-6950	Manes.02G038200
PWY-6446	"benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)"	BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN	EC-1.2.1.28	G2Z-11331-MONOMER		G2Z-11331	Manes.15G004800
CYSTSYN-PWY	L-cysteine biosynthesis I	ACSERLY-RXN	EC-2.5.1.47	G2Z-9346-MONOMER	<i>O</i>-acetylserine sulfhydrylase	G2Z-9346	Manes.08G127300
CYSTSYN-PWY	L-cysteine biosynthesis I	ACSERLY-RXN	EC-2.5.1.47	G2Z-9697-MONOMER	<i>O</i>-acetylserine sulfhydrylase	G2Z-9697	Manes.09G157100
GLUTAMINDEG-PWY	L-glutamine degradation I	GLUTAMIN-RXN	EC-3.5.1.38	G2Z-9610-MONOMER	glutaminase	G2Z-9610	Manes.09G105200
GLUTAMINDEG-PWY	L-glutamine degradation I	GLUTAMIN-RXN	EC-3.5.1.38	G2Z-7779-MONOMER	glutaminase	G2Z-7779	Manes.04G025400
PWY-6039	chlorogenic acid biosynthesis I	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	EC-2.1.1.104	G2Z-8976-MONOMER	caffeoyl-CoA 3-<i>O</i>-methyltransferase	G2Z-8976	Manes.07G075700
PWY-6039	chlorogenic acid biosynthesis I	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	EC-2.1.1.104	G2Z-10897-MONOMER	caffeoyl-CoA 3-<i>O</i>-methyltransferase	G2Z-10897	Manes.13G122600
PWY-6039	chlorogenic acid biosynthesis I	2.3.1.133-RXN	EC-2.3.1.133	G2Z-7925-MONOMER	shikimate O-hydroxycinnamoyltransferase	G2Z-7925	Manes.04G101700
PWY-861	dhurrin biosynthesis	RXN-743	EC-2.4.1.85	G2Z-10589-MONOMER	UDP-glucose:<I>p</I>-hydroxymandelonitrile-<I>O</I>-glucosyltransferase	G2Z-10589	Manes.12G132300
PWY-861	dhurrin biosynthesis	RXN-743	EC-2.4.1.85	G2Z-10595-MONOMER	UDP-glucose:<I>p</I>-hydroxymandelonitrile-<I>O</I>-glucosyltransferase	G2Z-10595	Manes.12G133000
PWY-6040	chlorogenic acid biosynthesis II	2.3.1.133-RXN	EC-2.3.1.133	G2Z-7925-MONOMER	shikimate O-hydroxycinnamoyltransferase	G2Z-7925	Manes.04G101700
PWY-6367	D-<i>myo</i>-inositol-5-phosphate metabolism	3.1.4.11-RXN	EC-3.1.4.11	G2Z-12536-MONOMER	phosphatidylinositol 4,5-bisphosphate lipase C	G2Z-12536	Manes.S029900
PWY-5365	linear furanocoumarin biosynthesis	RXN-8386	EC-1.14.13.102	G2Z-11087-MONOMER	psoralen synthase	G2Z-11087	Manes.14G059400
PWY-735	jasmonic acid biosynthesis	RXN-10706	EC-1.3.3.6	G2Z-6954-MONOMER	fatty-acyl coenzyme A oxidase	G2Z-6954	Manes.02G041600
PWY-735	jasmonic acid biosynthesis	RXN-10707	EC-1.3.3.6	G2Z-6954-MONOMER	fatty-acyl coenzyme A oxidase	G2Z-6954	Manes.02G041600
PWY-735	jasmonic acid biosynthesis	RXN-10696	EC-1.3.3.6	G2Z-6954-MONOMER	fatty-acyl coenzyme A oxidase	G2Z-6954	Manes.02G041600
PWY-735	jasmonic acid biosynthesis	RXN-10701	EC-2.3.1.16	G2Z-7614-MONOMER	3-oxoacyl CoA thiolase	G2Z-7614	Manes.03G150200
PWY-735	jasmonic acid biosynthesis	RXN-10700	EC-2.3.1.16	G2Z-7614-MONOMER	3-oxoacyl CoA thiolase	G2Z-7614	Manes.03G150200
PWY-735	jasmonic acid biosynthesis	RXN-10699	EC-2.3.1.16	G2Z-7614-MONOMER	3-oxoacyl CoA thiolase	G2Z-7614	Manes.03G150200
PWY-735	jasmonic acid biosynthesis	12-OXOPHYTODIENOATE-REDUCTASE-RXN	EC-1.3.1.42	G2Z-7395-MONOMER	12-oxophytodienoate reductase	G2Z-7395	Manes.03G039700
PWY-735	jasmonic acid biosynthesis	12-OXOPHYTODIENOATE-REDUCTASE-RXN	EC-1.3.1.42	G2Z-12452-MONOMER	12-oxophytodienoate reductase	G2Z-12452	Manes.18G120400
PWY-735	jasmonic acid biosynthesis	12-OXOPHYTODIENOATE-REDUCTASE-RXN	EC-1.3.1.42	G2Z-12455-MONOMER	12-oxophytodienoate reductase	G2Z-12455	Manes.18G120700
PWY-6351	D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis	3.1.4.11-RXN	EC-3.1.4.11	G2Z-12536-MONOMER	phosphatidylinositol 4,5-bisphosphate lipase C	G2Z-12536	Manes.S029900
PWY-2	putrescine degradation IV	AMINOBUTDEHYDROG-RXN	EC-1.2.1.19	G2Z-8647-MONOMER	"&gamma;-aminobutyraldehyde dehydrogenase"	G2Z-8647	Manes.06G100200
PWY-401	galactolipid biosynthesis I	2.4.1.46-RXN	EC-2.4.1.46	G2Z-11203-MONOMER	monogalactosyldiacylglycerol synthase	G2Z-11203	Manes.14G118100
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	G2Z-7758-MONOMER	"xylogalacturonan &beta;-1,3-xylosyltransferase"	G2Z-7758	Manes.04G013800
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	G2Z-9305-MONOMER	"xylogalacturonan &beta;-1,3-xylosyltransferase"	G2Z-9305	Manes.08G100700
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	G2Z-11056-MONOMER	"xylogalacturonan &beta;-1,3-xylosyltransferase"	G2Z-11056	Manes.14G043900
PWY-5723	Rubisco shunt	2PGADEHYDRAT-RXN	EC-4.2.1.11	G2Z-6391-MONOMER	enolase	G2Z-6391	Manes.01G023200
PWY-5723	Rubisco shunt	PEPDEPHOS-RXN	EC-2.7.1.40	G2Z-9676-MONOMER	pyruvate kinase	G2Z-9676	Manes.09G143000
PWY-5123	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	IPPISOM-RXN	EC-5.3.3.2	G2Z-10353-MONOMER	"isopentenyl-diphosphate &Delta;-isomerase"	G2Z-10353	Manes.12G005500
