ASPARAGINE-DEG1-PWY	L-asparagine degradation I	ASPARAGHYD-RXN	EC-3.5.1.38	G2Z-8610-MONOMER	asparaginase	G2Z-8610	Manes.06G081300
PWY-4821	"UDP-&alpha;-D-xylose biosynthesis"	PWY-7346	-	G2Z-6538-MONOMER		G2Z-6538	Manes.01G097900
PWY-4821	"UDP-&alpha;-D-xylose biosynthesis"	PWY-7346	-	G2Z-12646-MONOMER		G2Z-12646	Manes.S094200
PWY-4821	"UDP-&alpha;-D-xylose biosynthesis"	UDP-GLUCURONATE-DECARBOXYLASE-RXN	EC-4.1.1.35	G2Z-7752-MONOMER	UDP-xylose synthase	G2Z-7752	Manes.04G010600
PWY-6363	D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation	RXN-10952	EC-3.1.3.25	G2Z-7900-MONOMER		G2Z-7900	Manes.04G087000
HISTSYN-PWY	L-histidine biosynthesis	PRIBFAICARPISOM-RXN	EC-5.3.1.16	G2Z-9160-MONOMER	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	G2Z-9160	Manes.08G025500
HISTSYN-PWY	L-histidine biosynthesis	HISTIDPHOS-RXN	EC-3.1.3.15	G2Z-7900-MONOMER	histidinol-phosphatase	G2Z-7900	Manes.04G087000
HISTSYN-PWY	L-histidine biosynthesis	HISTOLDEHYD-RXN	-	G2Z-8565-MONOMER	histidinol dehydrogenase	G2Z-8565	Manes.06G058300
HISTSYN-PWY	L-histidine biosynthesis	HISTALDEHYD-RXN	-	G2Z-8565-MONOMER	histidinal dehydrogenase	G2Z-8565	Manes.06G058300
PWY-5481	pyruvate fermentation to lactate	L-LACTATE-DEHYDROGENASE-RXN	EC-1.1.1.27	G2Z-6950-MONOMER	L-lactate dehydrogenase	G2Z-6950	Manes.02G038200
PWY0-501	lipoate biosynthesis and incorporation I	RXN0-949	EC-2.8.1.8	G2Z-10952-MONOMER	lipoyl synthase	G2Z-10952	Manes.13G149900
CYSTSYN-PWY	L-cysteine biosynthesis I	ACSERLY-RXN	EC-2.5.1.47	G2Z-9346-MONOMER	<i>O</i>-acetylserine sulfhydrylase	G2Z-9346	Manes.08G127300
CYSTSYN-PWY	L-cysteine biosynthesis I	ACSERLY-RXN	EC-2.5.1.47	G2Z-9697-MONOMER	<i>O</i>-acetylserine sulfhydrylase	G2Z-9697	Manes.09G157100
PWY-6039	chlorogenic acid biosynthesis I	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	EC-2.1.1.104	G2Z-9911-MONOMER	caffeoyl-CoA 3-<i>O</i>-methyltransferase	G2Z-9911	Manes.10G078800
PWY-6039	chlorogenic acid biosynthesis I	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	EC-2.1.1.104	G2Z-11587-MONOMER	caffeoyl-CoA 3-<i>O</i>-methyltransferase	G2Z-11587	Manes.15G136300
PWY-6039	chlorogenic acid biosynthesis I	2.3.1.133-RXN	EC-2.3.1.133	G2Z-7925-MONOMER	shikimate O-hydroxycinnamoyltransferase	G2Z-7925	Manes.04G101700
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	DTDPKIN-RXN	EC-2.7.4.6	G2Z-8154-MONOMER	dTDP kinase	G2Z-8154	Manes.05G056000
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	DUDPKIN-RXN	EC-2.7.4.6	G2Z-8154-MONOMER	dUDP kinase	G2Z-8154	Manes.05G056000
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	DCDPKIN-RXN	EC-2.7.4.6	G2Z-8154-MONOMER	dCDP kinase	G2Z-8154	Manes.05G056000
PWY-861	dhurrin biosynthesis	RXN-743	EC-2.4.1.85	G2Z-10589-MONOMER	UDP-glucose:<I>p</I>-hydroxymandelonitrile-<I>O</I>-glucosyltransferase	G2Z-10589	Manes.12G132300
PWY-6040	chlorogenic acid biosynthesis II	2.3.1.133-RXN	EC-2.3.1.133	G2Z-7925-MONOMER	shikimate O-hydroxycinnamoyltransferase	G2Z-7925	Manes.04G101700
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	DCDPKIN-RXN	EC-2.7.4.6	G2Z-8154-MONOMER	dCDP kinase	G2Z-8154	Manes.05G056000
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	DTDPKIN-RXN	EC-2.7.4.6	G2Z-8154-MONOMER	dTDP kinase	G2Z-8154	Manes.05G056000
PWY-6367	D-<i>myo</i>-inositol-5-phosphate metabolism	3.1.4.11-RXN	EC-3.1.4.11	G2Z-12536-MONOMER	phosphatidylinositol 4,5-bisphosphate lipase C	G2Z-12536	Manes.S029900
PWY-735	jasmonic acid biosynthesis	12-OXOPHYTODIENOATE-REDUCTASE-RXN	EC-1.3.1.42	G2Z-12452-MONOMER	12-oxophytodienoate reductase	G2Z-12452	Manes.18G120400
PWY-735	jasmonic acid biosynthesis	12-OXOPHYTODIENOATE-REDUCTASE-RXN	EC-1.3.1.42	G2Z-12455-MONOMER	12-oxophytodienoate reductase	G2Z-12455	Manes.18G120700
PWY-6351	D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis	3.1.4.11-RXN	EC-3.1.4.11	G2Z-12536-MONOMER	phosphatidylinositol 4,5-bisphosphate lipase C	G2Z-12536	Manes.S029900
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	PYRIMSYN3-RXN	EC-2.7.4.7	G2Z-9972-MONOMER	phosphomethylpyrimidine kinase	G2Z-9972	Manes.10G122900
PWY-401	galactolipid biosynthesis I	2.4.1.46-RXN	EC-2.4.1.46	G2Z-11203-MONOMER	monogalactosyldiacylglycerol synthase	G2Z-11203	Manes.14G118100
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	G2Z-9305-MONOMER	"xylogalacturonan &beta;-1,3-xylosyltransferase"	G2Z-9305	Manes.08G100700
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	G2Z-9800-MONOMER	"xylogalacturonan &beta;-1,3-xylosyltransferase"	G2Z-9800	Manes.10G023600
PWY-5980	xylogalacturonan biosynthesis	RXN-9589	EC-2.4.2.41	G2Z-11056-MONOMER	"xylogalacturonan &beta;-1,3-xylosyltransferase"	G2Z-11056	Manes.14G043900
PWY-5723	Rubisco shunt	PEPDEPHOS-RXN	EC-2.7.1.40	G2Z-9446-MONOMER	pyruvate kinase	G2Z-9446	Manes.09G007300
PWY-5723	Rubisco shunt	PEPDEPHOS-RXN	EC-2.7.1.40	G2Z-9676-MONOMER	pyruvate kinase	G2Z-9676	Manes.09G143000
PWY-5723	Rubisco shunt	PHOSPHORIBULOKINASE-RXN	EC-2.7.1.19	G2Z-12539-MONOMER	phosphoribulokinase	G2Z-12539	Manes.S031800
PWY-5723	Rubisco shunt	RIB5PISOM-RXN	EC-5.3.1.6	G2Z-8580-MONOMER	ribose-5-phosphate isomerase	G2Z-8580	Manes.06G061700
PWY-4381	fatty acid biosynthesis initiation I	2.3.1.180-RXN	EC-2.3.1.180	G2Z-6488-MONOMER	"&beta;-ketoacyl-ACP synthase"	G2Z-6488	Manes.01G076900
PWY-5123	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	IPPISOM-RXN	EC-5.3.3.2	G2Z-10353-MONOMER	"isopentenyl-diphosphate &Delta;-isomerase"	G2Z-10353	Manes.12G005500
